DllPath,ForwardedImport,DllImportPath,DLLExportFunc,DLLBareName,ExportDLLName,ForwardDLLBareName
C:\Users\student\AppData\Local\Discord\app-1.0.9191\ffmpeg.dll,ffmpeg_orig.av_packet_copy_props,ffmpeg_orig,av_packet_copy_props,ffmpeg,ffmpeg_orig,ffmpeg_orig
C:\Users\student\AppData\Local\Discord\app-1.0.9191\ffmpeg.dll,ffmpeg_orig.av_packet_free,ffmpeg_orig,av_packet_free,ffmpeg,ffmpeg_orig,ffmpeg_orig
C:\Users\student\AppData\Local\Discord\app-1.0.9191\ffmpeg.dll,ffmpeg_orig.av_packet_get_side_data,ffmpeg_orig,av_packet_get_side_data,ffmpeg,ffmpeg_orig,ffmpeg_orig
C:\Users\student\AppData\Local\Discord\app-1.0.9191\ffmpeg.dll,ffmpeg_orig.av_packet_ref,ffmpeg_orig,av_packet_ref,ffmpeg,ffmpeg_orig,ffmpeg_orig
C:\Users\student\AppData\Local\Discord\app-1.0.9191\ffmpeg.dll,ffmpeg_orig.av_packet_rescale_ts,ffmpeg_orig,av_packet_rescale_ts,ffmpeg,ffmpeg_orig,ffmpeg_orig
C:\Users\student\AppData\Local\Discord\app-1.0.9191\ffmpeg.dll,ffmpeg_orig.av_packet_unref,ffmpeg_orig,av_packet_unref,ffmpeg,ffmpeg_orig,ffmpeg_orig
C:\Users\student\AppData\Local\Discord\app-1.0.9191\ffmpeg.dll,ffmpeg_orig.av_read_frame,ffmpeg_orig,av_read_frame,ffmpeg,ffmpeg_orig,ffmpeg_orig
C:\Users\student\AppData\Local\Discord\app-1.0.9191\ffmpeg.dll,ffmpeg_orig.av_realloc_f,ffmpeg_orig,av_realloc_f,ffmpeg,ffmpeg_orig,ffmpeg_orig
C:\Users\student\AppData\Local\Discord\app-1.0.9191\ffmpeg.dll,ffmpeg_orig.av_rescale_q,ffmpeg_orig,av_rescale_q,ffmpeg,ffmpeg_orig,ffmpeg_orig
C:\Users\student\AppData\Local\Discord\app-1.0.9191\ffmpeg.dll,ffmpeg_orig.av_samples_get_buffer_size,ffmpeg_orig,av_samples_get_buffer_size,ffmpeg,ffmpeg_orig,ffmpeg_orig
C:\Users\student\AppData\Local\Discord\app-1.0.9191\ffmpeg.dll,ffmpeg_orig.av_seek_frame,ffmpeg_orig,av_seek_frame,ffmpeg,ffmpeg_orig,ffmpeg_orig
C:\Users\student\AppData\Local\Discord\app-1.0.9191\ffmpeg.dll,ffmpeg_orig.av_strdup,ffmpeg_orig,av_strdup,ffmpeg,ffmpeg_orig,ffmpeg_orig
C:\Users\student\AppData\Local\Discord\app-1.0.9191\ffmpeg.dll,ffmpeg_orig.av_stream_get_first_dts,ffmpeg_orig,av_stream_get_first_dts,ffmpeg,ffmpeg_orig,ffmpeg_orig
C:\Users\student\AppData\Local\Discord\app-1.0.9191\ffmpeg.dll,ffmpeg_orig.av_stream_get_side_data,ffmpeg_orig,av_stream_get_side_data,ffmpeg,ffmpeg_orig,ffmpeg_orig
C:\Users\student\AppData\Local\Discord\app-1.0.9191\ffmpeg.dll,ffmpeg_orig.av_strerror,ffmpeg_orig,av_strerror,ffmpeg,ffmpeg_orig,ffmpeg_orig
C:\Users\student\AppData\Local\Discord\app-1.0.9191\ffmpeg.dll,ffmpeg_orig.av_write_trailer,ffmpeg_orig,av_write_trailer,ffmpeg,ffmpeg_orig,ffmpeg_orig
C:\Users\student\AppData\Local\Discord\app-1.0.9191\ffmpeg.dll,ffmpeg_orig.avcodec_align_dimensions,ffmpeg_orig,avcodec_align_dimensions,ffmpeg,ffmpeg_orig,ffmpeg_orig
C:\Users\student\AppData\Local\Discord\app-1.0.9191\ffmpeg.dll,ffmpeg_orig.avcodec_alloc_context3,ffmpeg_orig,avcodec_alloc_context3,ffmpeg,ffmpeg_orig,ffmpeg_orig
C:\Users\student\AppData\Local\Discord\app-1.0.9191\ffmpeg.dll,ffmpeg_orig.avcodec_descriptor_get,ffmpeg_orig,avcodec_descriptor_get,ffmpeg,ffmpeg_orig,ffmpeg_orig
C:\Users\student\AppData\Local\Discord\app-1.0.9191\ffmpeg.dll,ffmpeg_orig.avcodec_descriptor_next,ffmpeg_orig,avcodec_descriptor_next,ffmpeg,ffmpeg_orig,ffmpeg_orig
C:\Users\student\AppData\Local\Discord\app-1.0.9191\ffmpeg.dll,ffmpeg_orig.avcodec_find_decoder,ffmpeg_orig,avcodec_find_decoder,ffmpeg,ffmpeg_orig,ffmpeg_orig
C:\Users\student\AppData\Local\Discord\app-1.0.9191\ffmpeg.dll,ffmpeg_orig.avcodec_find_encoder,ffmpeg_orig,avcodec_find_encoder,ffmpeg,ffmpeg_orig,ffmpeg_orig
C:\Users\student\AppData\Local\Discord\app-1.0.9191\ffmpeg.dll,ffmpeg_orig.avcodec_flush_buffers,ffmpeg_orig,avcodec_flush_buffers,ffmpeg,ffmpeg_orig,ffmpeg_orig
C:\Users\student\AppData\Local\Discord\app-1.0.9191\ffmpeg.dll,ffmpeg_orig.avcodec_free_context,ffmpeg_orig,avcodec_free_context,ffmpeg,ffmpeg_orig,ffmpeg_orig
C:\Users\student\AppData\Local\Discord\app-1.0.9191\ffmpeg.dll,ffmpeg_orig.avcodec_get_name,ffmpeg_orig,avcodec_get_name,ffmpeg,ffmpeg_orig,ffmpeg_orig
C:\Users\student\AppData\Local\Discord\app-1.0.9191\ffmpeg.dll,ffmpeg_orig.avcodec_open2,ffmpeg_orig,avcodec_open2,ffmpeg,ffmpeg_orig,ffmpeg_orig
C:\Users\student\AppData\Local\Discord\app-1.0.9191\ffmpeg.dll,ffmpeg_orig.avcodec_parameters_copy,ffmpeg_orig,avcodec_parameters_copy,ffmpeg,ffmpeg_orig,ffmpeg_orig
C:\Users\student\AppData\Local\Discord\app-1.0.9191\ffmpeg.dll,ffmpeg_orig.avcodec_parameters_to_context,ffmpeg_orig,avcodec_parameters_to_context,ffmpeg,ffmpeg_orig,ffmpeg_orig
C:\Users\student\AppData\Local\Discord\app-1.0.9191\ffmpeg.dll,ffmpeg_orig.avcodec_receive_frame,ffmpeg_orig,avcodec_receive_frame,ffmpeg,ffmpeg_orig,ffmpeg_orig
C:\Users\student\AppData\Local\Discord\app-1.0.9191\ffmpeg.dll,ffmpeg_orig.avcodec_receive_packet,ffmpeg_orig,avcodec_receive_packet,ffmpeg,ffmpeg_orig,ffmpeg_orig
C:\Users\student\AppData\Local\Discord\app-1.0.9191\ffmpeg.dll,ffmpeg_orig.avcodec_send_frame,ffmpeg_orig,avcodec_send_frame,ffmpeg,ffmpeg_orig,ffmpeg_orig
C:\Users\student\AppData\Local\Discord\app-1.0.9191\ffmpeg.dll,ffmpeg_orig.avcodec_send_packet,ffmpeg_orig,avcodec_send_packet,ffmpeg,ffmpeg_orig,ffmpeg_orig
